Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-53.951,149,0.408,-0.444,0.634,-203.397,19.516,59.923,13,26,0,-31.09,-23.19,-102.68,0.547,-0.315,0.084,-0.771
23-36-53.961,150,0.364,-0.455,0.521,-216.320,21.658,42.587,14,26,2,-33.27,-22.74,-102.26,0.546,-0.323,0.100,-0.767
23-36-53.971,151,0.373,-0.440,0.631,-245.851,53.545,44.679,14,26,4,-35.60,-22.26,-102.03,0.542,-0.332,0.117,-0.763
23-36-53.981,152,0.423,-0.449,0.739,-234.144,65.700,56.992,15,26,6,-38.06,-21.55,-101.99,0.537,-0.339,0.138,-0.760
23-36-53.990,153,0.411,-0.578,0.724,-197.370,54.145,84.338,15,26,8,-40.39,-20.66,-101.93,0.533,-0.345,0.158,-0.756
23-36-54.001,154,0.374,-0.776,0.654,-143.181,34.165,106.509,16,26,10,-42.40,-19.70,-101.59,0.533,-0.349,0.175,-0.751
23-36-54.010,155,0.353,-0.925,0.638,-109.958,29.345,108.026,17,26,11,-43.98,-18.72,-101.00,0.535,-0.351,0.189,-0.745
23-36-54.020,156,0.349,-1.023,0.646,-84.302,30.658,90.623,18,26,12,-45.20,-17.77,-100.41,0.538,-0.353,0.200,-0.739
23-36-54.031,157,0.349,-1.023,0.646,-84.302,30.658,90.623,18,26,12,-45.20,-17.77,-100.41,0.538,-0.353,0.200,-0.739
23-36-54.031,158,0.361,-1.015,0.638,-69.575,29.433,65.984,18,27,14,-46.15,-16.93,-100.00,0.541,-0.353,0.210,-0.734
23-36-54.040,159,0.330,-0.944,0.639,-57.128,22.636,45.137,19,26,14,-46.90,-16.28,-99.76,0.542,-0.353,0.218,-0.731
23-36-54.050,160,0.334,-0.854,0.631,-37.958,10.522,35.316,19,26,15,-47.48,-15.81,-99.61,0.543,-0.354,0.223,-0.728
